window_start,window_end,market_slug,open_price,close_price,token_ids
2026-06-23T07:15:00+00:00,2026-06-23T07:20:00+00:00,btc-updown-5m-1782198900,63032.0,,"[""4212460354947778976554216196147112125318941638543874300154415519492494903524"", ""89022610238464868273815622930309921054072824735098873073424953267854619292413""]"
2026-06-23T07:20:00+00:00,2026-06-23T07:25:00+00:00,btc-updown-5m-1782199200,63043.01,,"[""78024545293286748488385449831465318318946692543327444841488568514682365373163"", ""80627930778034566554034337533548987399161676179318658919361365987483828550183""]"
2026-06-23T07:25:00+00:00,2026-06-23T07:30:00+00:00,btc-updown-5m-1782199500,63025.99,,"[""29084168779794608341230985836685236518273327463238378022060705596370158248850"", ""106176047326250793372500491862473101927800928816369018757752367918803197238121""]"
2026-06-23T07:30:00+00:00,2026-06-23T07:35:00+00:00,btc-updown-5m-1782199800,62989.46,,"[""48379039013394497222082781271947111259277725749361696316458541814339627936379"", ""78164022869350451418074735836593978564042291216385916159107077970233742882132""]"
2026-06-23T07:35:00+00:00,2026-06-23T07:40:00+00:00,btc-updown-5m-1782200100,62930.0,,"[""95695849404488577457258352454341567814102455744960200823742585312656974110548"", ""8233575952746851594199949927865137750886180961870610549834958046541402626495""]"
2026-06-23T07:40:00+00:00,2026-06-23T07:45:00+00:00,btc-updown-5m-1782200400,62996.42,,"[""82693922404498180277615902397124276482088219670717559909802505697553730652753"", ""54463176215182834054812407672127916713502908761090980087081426508389243418577""]"
2026-06-23T07:45:00+00:00,2026-06-23T07:50:00+00:00,btc-updown-5m-1782200700,62909.99,,"[""45206372377889445445941728684074447763614998517561665912654482626749180860423"", ""30417140655750866102604564812248302344907536825396690883700293291745510674265""]"
2026-06-23T07:50:00+00:00,2026-06-23T07:55:00+00:00,btc-updown-5m-1782201000,62967.25,,"[""96688304415732436800792842102120335275862984044780338820078945877424608456788"", ""51475549703130693459454072726878887747456101137589246765311796117373017134544""]"
2026-06-23T07:55:00+00:00,2026-06-23T08:00:00+00:00,btc-updown-5m-1782201300,62940.0,,"[""56023014627551415947845991922703853813017384357320737803004412495081389200971"", ""101733157052553867149646001155187364069818599882237799289033264521610717564797""]"
2026-06-23T08:00:00+00:00,2026-06-23T08:05:00+00:00,btc-updown-5m-1782201600,62896.59,,"[""21560763248664876182561191928068652725583548064019377443552911201346422110451"", ""6811833009562122428334862867617044801268198242679877700603129944911040629408""]"
2026-06-23T08:05:00+00:00,2026-06-23T08:10:00+00:00,btc-updown-5m-1782201900,62840.97,,"[""43917749840956671278858370643524650263681612852616101194028658910522007560488"", ""57568415191767407837493117714804443613144049157449280539327184790542017037026""]"
2026-06-23T08:10:00+00:00,2026-06-23T08:15:00+00:00,btc-updown-5m-1782202200,62822.0,,"[""1887300452720645081265283108561506288543934826501061192847613749007104235624"", ""44406548389126375838688388742169402589227087834692121289157249024972229191569""]"
2026-06-23T08:15:00+00:00,2026-06-23T08:20:00+00:00,btc-updown-5m-1782202500,62668.2,,"[""13491371416382196380491730862224886353334097060428967682366540260065203540095"", ""12965361995482253704148532140601313140039488075904994376199967837841762250080""]"
2026-06-23T08:20:00+00:00,2026-06-23T08:25:00+00:00,btc-updown-5m-1782202800,62389.53,,"[""114975992089642354396950481294850166668157642901292033005820022008899616386356"", ""3676359054594600461636675858871180857706303571029346625088932966696568738325""]"
2026-06-23T08:25:00+00:00,2026-06-23T08:30:00+00:00,btc-updown-5m-1782203100,62218.45,,"[""54760638572070564867087645850935189077598351126447783601658577327089814602888"", ""82061830066715165294684973460081643249088111175046592801060786032204811359447""]"
2026-06-23T08:30:00+00:00,2026-06-23T08:35:00+00:00,btc-updown-5m-1782203400,62030.53,,"[""113706527781705926773275110038318838697720490935768530622961000571897374240279"", ""106075928742516797300945736633827511256941317174573138025105415186389489412056""]"
2026-06-23T08:35:00+00:00,2026-06-23T08:40:00+00:00,btc-updown-5m-1782203700,62336.97,,"[""78046615496053447224935771128620536806888125493535834214560520622296662423681"", ""59029716111727897669723365254938801349629548722447928311284916041902279927801""]"
2026-06-23T08:40:00+00:00,2026-06-23T08:45:00+00:00,btc-updown-5m-1782204000,62354.91,,"[""69873740093261196174037177947502115270588787822041906656145764628703706099189"", ""29057729256031125927770957698448705713050436152384849338152925273975524233582""]"
2026-06-23T08:45:00+00:00,2026-06-23T08:50:00+00:00,btc-updown-5m-1782204300,62385.83,,"[""113662195620386982716598481880961233190329845224147537139337067012862717215925"", ""103334584826559516077524958611443392775496458397024514609677441581953407008839""]"
2026-06-23T08:50:00+00:00,2026-06-23T08:55:00+00:00,btc-updown-5m-1782204600,62334.54,,"[""24703390641363101660653079949056437848435656137695507829161109929746986819133"", ""24301926237601822714268582171069367975301142580143163441354627496106482437236""]"
2026-06-23T08:55:00+00:00,2026-06-23T09:00:00+00:00,btc-updown-5m-1782204900,,,"[""16700222101047557036685448163496990702795717647407140090621657342856651360622"", ""45951270316080724531801104049207967886228144641115746456188858627003537522138""]"
2026-06-23T09:00:00+00:00,2026-06-23T09:05:00+00:00,btc-updown-5m-1782205200,62394.0,,"[""61189373097404891838947342384098819052256984742914482896329213332309246899007"", ""111231921793502267412948470404862965594142613165576807549969012771544672636539""]"
2026-06-23T09:05:00+00:00,2026-06-23T09:10:00+00:00,btc-updown-5m-1782205500,62431.25,,"[""38094135636447224529801626724937844214182068172848613607885169589003843819856"", ""109046746613269378282645174655978369270402617809425638007554942975266034130568""]"
2026-06-23T09:10:00+00:00,2026-06-23T09:15:00+00:00,btc-updown-5m-1782205800,62378.36,,"[""20320457392325037666038596210126477795318657685004203833018941074515333305375"", ""85965451679039554077930654118253068484145389025312489050092867173091617075153""]"
2026-06-23T09:15:00+00:00,2026-06-23T09:20:00+00:00,btc-updown-5m-1782206100,62437.92,,"[""83371785499254984637302017712509503579254703870465259525039156944773790144852"", ""114191464974133143284188277001398202536264222874923882216070768124077264764194""]"
2026-06-23T09:20:00+00:00,2026-06-23T09:25:00+00:00,btc-updown-5m-1782206400,62460.0,,"[""54132537629261835486848215511590907867186076413134315788565099191403336637648"", ""1500511412457091841476036009123238583490872243253786109388446153251128583626""]"
2026-06-23T09:25:00+00:00,2026-06-23T09:30:00+00:00,btc-updown-5m-1782206700,62500.0,,"[""86884370792797594770245357339406803901626272946216803517318965028858309805553"", ""5724551716688507117400302804369169947042704360326325013094454954352379637121""]"
2026-06-23T09:30:00+00:00,2026-06-23T09:35:00+00:00,btc-updown-5m-1782207000,62520.01,,"[""79304774099912748614622276661270547793904611680989700307346656061935974893474"", ""22707806784344687373736290215188879838476534699167918807329572666486457374756""]"
2026-06-23T09:35:00+00:00,2026-06-23T09:40:00+00:00,btc-updown-5m-1782207300,62481.39,,"[""19768607567468653092930723139682541402021904278329617067404531749697348824875"", ""11121345007010688189783049322950516217308227331789047418209371938793772609621""]"
2026-06-23T09:40:00+00:00,2026-06-23T09:45:00+00:00,btc-updown-5m-1782207600,62419.71,,"[""24740558820334763669111748022673787740152670373367414190567491306798010901055"", ""94787799110321566624333940023956507933769961863256029780370094627123627786332""]"
2026-06-23T09:45:00+00:00,2026-06-23T09:50:00+00:00,btc-updown-5m-1782207900,62372.01,,"[""76462720936448046696121918979639316330488009896669015008698624741695282972995"", ""112047569465055410852753076871147678207407234627526297166069562010095174707790""]"
