id,ts,side,entry_price,stake,shares,ob_shares,signal,delta,p_model,confidence,window_start,market_slug,pnl,result,outcome,resolved_ts,session_id
11226,2026-07-01T09:52:12.799291+00:00,YES,0.65,100.0,152.55,2296.0,BUY YES,52.24,0.91137734779973,0.91137734779973,2026-07-01T09:45:00+00:00,KXBTC15M-26JUL010600-00,52.55,WIN,UP,2026-07-01T10:00:32.168139+00:00,f1_d50cap75
11227,2026-07-01T10:03:00.495708+00:00,NO,0.75,10.0,13.25,9372.0,BUY NO,-62.46,1.0,1.0,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,3.25,WIN,DOWN,2026-07-01T10:15:20.279130+00:00,s1
11228,2026-07-01T10:03:00.499472+00:00,NO,0.75,100.0,132.45,9372.0,BUY NO,-62.46,0.9049953274925306,0.9049953274925306,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,32.45,WIN,DOWN,2026-07-01T10:15:21.297323+00:00,live_today
11229,2026-07-01T10:03:00.505345+00:00,NO,0.75,100.0,132.45,9372.0,BUY NO,-62.46,0.9049953274925306,0.9049953274925306,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,32.45,WIN,DOWN,2026-07-01T10:15:21.575148+00:00,live_yest
11230,2026-07-01T10:03:00.507228+00:00,NO,0.75,100.0,132.45,9372.0,BUY NO,-62.46,0.9049953274925306,0.9049953274925306,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,32.45,WIN,DOWN,2026-07-01T10:15:21.803217+00:00,s_third
11231,2026-07-01T10:03:00.516829+00:00,NO,0.75,100.0,132.45,9372.0,BUY NO (EV=+0.331 pc=1.00),-62.46,0.0014659999999999673,0.0014659999999999673,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,32.45,WIN,DOWN,2026-07-01T10:15:22.005951+00:00,f4_ml_ev
11232,2026-07-01T10:03:00.525968+00:00,NO,0.75,100.0,132.45,9372.0,BUY NO,-62.46,0.923789168009004,0.923789168009004,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,32.45,WIN,DOWN,2026-07-01T10:15:22.144875+00:00,f1_d50cap75
11233,2026-07-01T10:03:03.368939+00:00,NO,0.76,100.0,130.75,2704.0,BUY NO,-62.47,0.9059157322733535,0.9059157322733535,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,30.75,WIN,DOWN,2026-07-01T10:15:20.677370+00:00,f5_hourofi
11234,2026-07-01T10:04:01.627763+00:00,NO,0.71,100.0,139.79,960.0,BUY NO (EV=+0.158 pc=0.82),-38.8,0.17769999999999997,0.17769999999999997,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,39.79,WIN,DOWN,2026-07-01T10:15:20.444924+00:00,f2_caley
11235,2026-07-01T10:04:40.709762+00:00,NO,0.61,100.0,162.52,1007.0,BUY NO,-24.46,0.724376260278786,0.724376260278786,2026-07-01T10:00:00+00:00,KXBTC15M-26JUL010615-15,62.52,WIN,DOWN,2026-07-01T10:15:20.898511+00:00,f6_wait270
11236,2026-07-01T10:19:08.148687+00:00,YES,0.51,100.0,194.52,498.0,BUY YES (EV=+0.780 pc=0.91),16.09,0.90785,0.90785,2026-07-01T10:15:00+00:00,KXBTC15M-26JUL010630-30,-100.0,LOSS,DOWN,2026-07-01T10:30:15.243183+00:00,f4_ml_ev
