ticker,open_time,close_time,result
KXBTC15M-26JUN222330-30,2026-06-23T03:15:00Z,2026-06-23T03:30:00Z,yes
KXBTC15M-26JUN301415-15,2026-06-30T18:00:00Z,2026-06-30T18:15:00Z,yes
KXBTC15M-26JUN271630-30,2026-06-27T20:15:00Z,2026-06-27T20:30:00Z,no
KXBTC15M-26JUN261945-45,2026-06-26T23:30:00Z,2026-06-26T23:45:00Z,yes
KXBTC15M-26JUN281745-45,2026-06-28T21:30:00Z,2026-06-28T21:45:00Z,no
KXBTC15M-26JUN251330-30,2026-06-25T17:15:00Z,2026-06-25T17:30:00Z,yes
KXBTC15M-26JUN251045-45,2026-06-25T14:30:00Z,2026-06-25T14:45:00Z,yes
KXBTC15M-26JUN230245-45,2026-06-23T06:30:00Z,2026-06-23T06:45:00Z,yes
KXBTC15M-26JUN261630-30,2026-06-26T20:15:00Z,2026-06-26T20:30:00Z,yes
KXBTC15M-26JUN271645-45,2026-06-27T20:30:00Z,2026-06-27T20:45:00Z,no
KXBTC15M-26JUN291215-15,2026-06-29T16:00:00Z,2026-06-29T16:15:00Z,no
KXBTC15M-26JUN261445-45,2026-06-26T18:30:00Z,2026-06-26T18:45:00Z,no
KXBTC15M-26JUN251230-30,2026-06-25T16:15:00Z,2026-06-25T16:30:00Z,no
KXBTC15M-26JUN251145-45,2026-06-25T15:30:00Z,2026-06-25T15:45:00Z,no
KXBTC15M-26JUN231200-00,2026-06-23T15:45:00Z,2026-06-23T16:00:00Z,yes
KXBTC15M-26JUN281600-00,2026-06-28T19:45:00Z,2026-06-28T20:00:00Z,yes
KXBTC15M-26JUN232215-15,2026-06-24T02:00:00Z,2026-06-24T02:15:00Z,no
KXBTC15M-26JUN252215-15,2026-06-26T02:00:00Z,2026-06-26T02:15:00Z,no
KXBTC15M-26JUN280215-15,2026-06-28T06:00:00Z,2026-06-28T06:15:00Z,no
KXBTC15M-26JUN232045-45,2026-06-24T00:30:00Z,2026-06-24T00:45:00Z,yes
KXBTC15M-26JUN251100-00,2026-06-25T14:45:00Z,2026-06-25T15:00:00Z,yes
KXBTC15M-26JUN291045-45,2026-06-29T14:30:00Z,2026-06-29T14:45:00Z,no
KXBTC15M-26JUN272330-30,2026-06-28T03:15:00Z,2026-06-28T03:30:00Z,yes
KXBTC15M-26JUN251415-15,2026-06-25T18:00:00Z,2026-06-25T18:15:00Z,no
KXBTC15M-26JUN252330-30,2026-06-26T03:15:00Z,2026-06-26T03:30:00Z,yes
KXBTC15M-26JUN231130-30,2026-06-23T15:15:00Z,2026-06-23T15:30:00Z,no
KXBTC15M-26JUN231845-45,2026-06-23T22:30:00Z,2026-06-23T22:45:00Z,no
KXBTC15M-26JUN300745-45,2026-06-30T11:30:00Z,2026-06-30T11:45:00Z,yes
KXBTC15M-26JUN231545-45,2026-06-23T19:30:00Z,2026-06-23T19:45:00Z,no
KXBTC15M-26JUN222245-45,2026-06-23T02:30:00Z,2026-06-23T02:45:00Z,yes
KXBTC15M-26JUN261115-15,2026-06-26T15:00:00Z,2026-06-26T15:15:00Z,yes
KXBTC15M-26JUN281345-45,2026-06-28T17:30:00Z,2026-06-28T17:45:00Z,no
KXBTC15M-26JUN271430-30,2026-06-27T18:15:00Z,2026-06-27T18:30:00Z,no
KXBTC15M-26JUN252100-00,2026-06-26T00:45:00Z,2026-06-26T01:00:00Z,no
KXBTC15M-26JUN300930-30,2026-06-30T13:15:00Z,2026-06-30T13:30:00Z,yes
KXBTC15M-26JUN291100-00,2026-06-29T14:45:00Z,2026-06-29T15:00:00Z,yes
KXBTC15M-26JUN222030-30,2026-06-23T00:15:00Z,2026-06-23T00:30:00Z,no
KXBTC15M-26JUN261645-45,2026-06-26T20:30:00Z,2026-06-26T20:45:00Z,no
KXBTC15M-26JUN230015-15,2026-06-23T04:00:00Z,2026-06-23T04:15:00Z,no
KXBTC15M-26JUN222015-15,2026-06-23T00:00:00Z,2026-06-23T00:15:00Z,no
KXBTC15M-26JUN261345-45,2026-06-26T17:30:00Z,2026-06-26T17:45:00Z,no
KXBTC15M-26JUN231215-15,2026-06-23T16:00:00Z,2026-06-23T16:15:00Z,yes
KXBTC15M-26JUN261700-00,2026-06-26T20:45:00Z,2026-06-26T21:00:00Z,yes
KXBTC15M-26JUN232015-15,2026-06-24T00:00:00Z,2026-06-24T00:15:00Z,yes
KXBTC15M-26JUN290945-45,2026-06-29T13:30:00Z,2026-06-29T13:45:00Z,no
KXBTC15M-26JUN300845-45,2026-06-30T12:30:00Z,2026-06-30T12:45:00Z,no
KXBTC15M-26JUN301045-45,2026-06-30T14:30:00Z,2026-06-30T14:45:00Z,no
KXBTC15M-26JUN252130-30,2026-06-26T01:15:00Z,2026-06-26T01:30:00Z,no
KXBTC15M-26JUN271415-15,2026-06-27T18:00:00Z,2026-06-27T18:15:00Z,no
KXBTC15M-26JUN251815-15,2026-06-25T22:00:00Z,2026-06-25T22:15:00Z,no
KXBTC15M-26JUN261015-15,2026-06-26T14:00:00Z,2026-06-26T14:15:00Z,no
KXBTC15M-26JUN301215-15,2026-06-30T16:00:00Z,2026-06-30T16:15:00Z,yes
KXBTC15M-26JUN281530-30,2026-06-28T19:15:00Z,2026-06-28T19:30:00Z,yes
KXBTC15M-26JUN230345-45,2026-06-23T07:30:00Z,2026-06-23T07:45:00Z,no
KXBTC15M-26JUN291530-30,2026-06-29T19:15:00Z,2026-06-29T19:30:00Z,yes
KXBTC15M-26JUN251300-00,2026-06-25T16:45:00Z,2026-06-25T17:00:00Z,yes
KXBTC15M-26JUN301000-00,2026-06-30T13:45:00Z,2026-06-30T14:00:00Z,yes
KXBTC15M-26JUN292100-00,2026-06-30T00:45:00Z,2026-06-30T01:00:00Z,yes
KXBTC15M-26JUN262315-15,2026-06-27T03:00:00Z,2026-06-27T03:15:00Z,no
KXBTC15M-26JUN251800-00,2026-06-25T21:45:00Z,2026-06-25T22:00:00Z,yes
KXBTC15M-26JUN231315-15,2026-06-23T17:00:00Z,2026-06-23T17:15:00Z,no
KXBTC15M-26JUN281930-30,2026-06-28T23:15:00Z,2026-06-28T23:30:00Z,yes
KXBTC15M-26JUN251945-45,2026-06-25T23:30:00Z,2026-06-25T23:45:00Z,no
KXBTC15M-26JUN282000-00,2026-06-28T23:45:00Z,2026-06-29T00:00:00Z,no
KXBTC15M-26JUN230900-00,2026-06-23T12:45:00Z,2026-06-23T13:00:00Z,no
KXBTC15M-26JUN222145-45,2026-06-23T01:30:00Z,2026-06-23T01:45:00Z,no
KXBTC15M-26JUN271800-00,2026-06-27T21:45:00Z,2026-06-27T22:00:00Z,no
KXBTC15M-26JUN222115-15,2026-06-23T01:00:00Z,2026-06-23T01:15:00Z,yes
KXBTC15M-26JUN271400-00,2026-06-27T17:45:00Z,2026-06-27T18:00:00Z,no
KXBTC15M-26JUN291230-30,2026-06-29T16:15:00Z,2026-06-29T16:30:00Z,no
KXBTC15M-26JUN301015-15,2026-06-30T14:00:00Z,2026-06-30T14:15:00Z,yes
KXBTC15M-26JUN281545-45,2026-06-28T19:30:00Z,2026-06-28T19:45:00Z,no
KXBTC15M-26JUN222315-15,2026-06-23T03:00:00Z,2026-06-23T03:15:00Z,no
KXBTC15M-26JUN281800-00,2026-06-28T21:45:00Z,2026-06-28T22:00:00Z,no
KXBTC15M-26JUN301230-30,2026-06-30T16:15:00Z,2026-06-30T16:30:00Z,no
KXBTC15M-26JUN272200-00,2026-06-28T01:45:00Z,2026-06-28T02:00:00Z,no
KXBTC15M-26JUN281700-00,2026-06-28T20:45:00Z,2026-06-28T21:00:00Z,no
KXBTC15M-26JUN251430-30,2026-06-25T18:15:00Z,2026-06-25T18:30:00Z,yes
KXBTC15M-26JUN301445-45,2026-06-30T18:30:00Z,2026-06-30T18:45:00Z,no
