ts,resolved_ts,side,entry_price,delta,p_model,pnl,outcome,window_start,sigma,dfo,snr,ofi1,ofi5,btc
2026-05-13T05:28:25.479485+00:00,2026-05-13T05:33:17.103325+00:00,NO,0.88,-20.22,0.6664561347761626,13.36,DOWN,2026-05-13T05:25:00+00:00,,,56.59,-78593.5,-273007.0,81126.9
2026-05-13T05:33:00.294117+00:00,2026-05-13T05:38:21.442503+00:00,NO,0.95,-30.87,0.6980382689623654,5.21,DOWN,2026-05-13T05:30:00+00:00,,,44.234,-45690.0,-439700.0,81093.93
2026-05-13T05:43:40.019543+00:00,2026-05-13T05:48:26.583444+00:00,NO,0.93,-21.18,0.7029975948780356,7.42,DOWN,2026-05-13T05:40:00+00:00,,,56.118,-152347.5,-307874.25,81043.8325
2026-05-13T05:49:16.121853+00:00,2026-05-13T05:55:10.591257+00:00,YES,0.63,20.66,0.90080123446372,57.37,UP,2026-05-13T05:45:00+00:00,,,,,,
2026-05-13T05:58:04.553439+00:00,2026-05-13T06:05:15.491056+00:00,NO,0.95,-44.18,0.8375660720317284,5.21,DOWN,2026-05-13T05:55:00+00:00,,,80.352,-146918.66666666666,-1183577.6666666667,81008.69333333334
2026-05-13T06:08:23.721245+00:00,2026-05-13T06:13:19.016914+00:00,YES,0.76,20.55,0.7084047229851372,30.75,UP,2026-05-13T06:05:00+00:00,,,,,,
2026-05-13T06:19:10.883301+00:00,2026-05-13T06:23:22.123480+00:00,YES,0.82,29.73,0.8792497997416122,21.41,UP,2026-05-13T06:15:00+00:00,,,,,,
2026-05-13T06:29:48.321898+00:00,2026-05-13T06:33:25.594000+00:00,NO,0.85,-27.64,0.998413118341168,-100.0,UP,2026-05-13T06:25:00+00:00,,,513.667,-160229.0,118583.0,81040.01
2026-05-13T06:33:02.539712+00:00,2026-05-13T06:41:12.011057+00:00,NO,0.87,-32.07,0.6005192364868686,14.62,DOWN,2026-05-13T06:30:00+00:00,,,14.131,-182922.0,2691732.0,81080.01
2026-05-13T06:38:01.016464+00:00,2026-05-13T06:43:34.179179+00:00,YES,0.84,32.9,0.6017567947053896,18.6,UP,2026-05-13T06:35:00+00:00,,,,,,
2026-05-13T06:43:11.223051+00:00,2026-05-13T06:46:56.895507+00:00,NO,0.88,-33.5,0.6131269968220787,13.36,DOWN,2026-05-13T06:40:00+00:00,,,45.987,-2912132.0,-12106031.0,81031.56
2026-05-13T07:03:00.527612+00:00,2026-05-13T07:09:05.833602+00:00,YES,0.93,38.92,0.6958750466908349,7.42,UP,2026-05-13T07:00:00+00:00,,,,,,
2026-05-13T07:08:00.857171+00:00,2026-05-13T07:14:08.729396+00:00,NO,0.84,-20.03,0.6043509325092823,-100.0,UP,2026-05-13T07:05:00+00:00,,,56.855,-91648.0,-281753.0,80987.39
