id,ts,side,entry_price,stake,shares,ob_shares,signal,delta,p_model,confidence,window_start,market_slug,pnl,result,outcome,resolved_ts,session_id
4513,2026-05-22T02:08:00.937832+00:00,NO,0.95,100.0,105.21,159.0,BUY NO,-58.06,0.7584464629990969,0.7584464629990969,2026-05-22T02:05:00+00:00,btc-updown-5m-1779415500,5.21,WIN,DOWN,2026-05-22T02:15:58.003666+00:00,s_third
4515,2026-05-22T02:13:00.289103+00:00,NO,0.83,100.0,119.98,281.0,BUY NO,-25.99,0.6177335021467139,0.6177335021467139,2026-05-22T02:10:00+00:00,btc-updown-5m-1779415800,19.98,WIN,DOWN,2026-05-22T02:21:02.978834+00:00,s_third
4516,2026-05-22T02:18:01.173298+00:00,YES,0.91,100.0,109.72,89.0,BUY YES,43.13,0.6915908720826481,0.6915908720826481,2026-05-22T02:15:00+00:00,btc-updown-5m-1779416100,9.72,WIN,UP,2026-05-22T02:26:07.537163+00:00,s_third
4518,2026-05-22T02:23:10.206323+00:00,NO,0.74,100.0,134.21,55.0,BUY NO,-21.77,0.6077387598972039,0.6077387598972039,2026-05-22T02:20:00+00:00,btc-updown-5m-1779416400,34.21,WIN,DOWN,2026-05-22T02:26:48.186729+00:00,s_third
4519,2026-05-22T02:33:00.805055+00:00,YES,0.75,100.0,132.45,439.0,BUY YES,25.57,0.616316146405575,0.616316146405575,2026-05-22T02:30:00+00:00,btc-updown-5m-1779417000,-100.0,LOSS,DOWN,2026-05-22T02:37:10.757931+00:00,s_third
4520,2026-05-22T02:38:00.690629+00:00,YES,0.66,100.0,150.26,109.0,BUY YES,23.14,0.6398897895158533,0.6398897895158533,2026-05-22T02:35:00+00:00,btc-updown-5m-1779417300,50.26,WIN,UP,2026-05-22T02:42:14.530187+00:00,s_third
4522,2026-05-22T02:48:54.577043+00:00,NO,0.69,100.0,143.78,338.0,BUY NO,-37.02,0.7387296010365056,0.7387296010365056,2026-05-22T02:45:00+00:00,btc-updown-5m-1779417900,43.78,WIN,DOWN,2026-05-22T02:52:19.826744+00:00,s_third
4523,2026-05-22T02:53:25.924126+00:00,YES,0.65,100.0,152.55,368.0,BUY YES,25.69,0.6210955534463418,0.6210955534463418,2026-05-22T02:50:00+00:00,btc-updown-5m-1779418200,-100.0,LOSS,DOWN,2026-05-22T02:57:03.237540+00:00,s_third
4524,2026-05-22T02:58:08.500672+00:00,YES,0.92,100.0,108.56,251.0,BUY YES,26.14,0.6043904656381964,0.6043904656381964,2026-05-22T02:55:00+00:00,btc-updown-5m-1779418500,8.56,WIN,UP,2026-05-22T03:02:05.082264+00:00,s_third
4525,2026-05-22T03:03:22.238846+00:00,YES,0.91,100.0,109.72,299.0,BUY YES,32.36,0.6456166774738509,0.6456166774738509,2026-05-22T03:00:00+00:00,btc-updown-5m-1779418800,9.72,WIN,UP,2026-05-22T03:07:07.168652+00:00,s_third
